id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18456156,Kokas Studio,126878939,Vitor,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14469,-8.61596,Entire home/apt,50,2,150,2019-10-21,2.97,2,327
18461303,Poveiros_ Cozy II:Private Studio Porto Center:,22280609,Daniela,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14659,-8.60336,Entire home/apt,38,3,153,2019-09-03,3.04,4,193
18461746,EV -A different place to stay in Porto,115299145,Elsa,PORTO,Bonfim,41.14995,-8.59269,Entire home/apt,1000,2,52,2018-03-26,1.03,1,179
18488782,La Paz Oporto Touristic Apartment (NEW),35057317,João,PORTO,Bonfim,41.15683,-8.59509,Entire home/apt,55,30,17,2019-04-05,0.37,5,0
18500348,"Best of nature:PortoCityPark/oceanMatosinho, METRO",25831854,Sofia,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17821,-8.6751,Private room,25,4,62,2019-09-07,1.27,2,327
18500854,"BO - Sá da Bandeira ""Palácio Cristal""",127147042,Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15055,-8.60657,Entire home/apt,84,2,0,,,24,123
18501088,"BO - Sá da Bandeira ""Jardim Romantico""",127147042,Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14951,-8.60761,Entire home/apt,79,20,1,2018-03-08,0.02,24,174
18501507,"BO - Sá da Bandeira ""Passeio Alegre""",127147042,Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14901,-8.60663,Entire home/apt,84,20,1,2020-08-09,0.09,24,94
18501735,"BO - Sá da Bandeira ""Jardim Botânico""",127147042,Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14951,-8.60761,Entire home/apt,79,20,2,2020-08-03,0.39,24,150
18505931,Apartamento familiar confortável a 150m da praia,28811423,Rita,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.39028,-8.77238,Entire home/apt,62,7,5,2019-08-24,0.11,1,226
18506388,Vue over the River  ( Douro ),26094139,Mickaël,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14167,-8.62453,Entire home/apt,40,2,54,2019-10-09,1.09,1,340
18507002,Charming Motorhome discovering Portugal,27098605,CaravanConcierge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14065,-8.6176,Entire home/apt,87,6,4,2018-09-01,0.10,5,159
18507143,Soho Apartment I (terrace),48340706,Liliana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1466,-8.61899,Entire home/apt,51,2,46,2019-09-16,0.91,2,331
18514808,World Heritage House with River View,77153972,Silvia & Edu,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14069,-8.61131,Entire home/apt,85,3,158,2021-07-03,3.32,12,279
18516619,Almasaba Beach House... Luxury by the sea,128223489,Sal,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.23932,-8.72385,Entire home/apt,119,1,19,2019-11-08,0.85,1,0
18517036,Paraíso à beira mar,128530941,Helena,VILA DO CONDE,Labruge,41.27346,-8.72525,Entire home/apt,60,2,21,2018-09-21,0.42,3,138
18532361,Casa Particular de Monsanto 5,119157440,Manuela,PORTO,Paranhos,41.17155,-8.6173,Private room,22,2,10,2019-09-15,0.25,9,179
18540382,Loureiro 67 I,37066714,Diogo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14469,-8.60895,Entire home/apt,58,2,9,2019-11-04,0.18,19,353
18541068,Quinta de Vilar Country House with pool near Porto,128700485,Carmen,PAREDES,Sobreira,41.13771,-8.38047,Entire home/apt,140,2,20,2019-07-22,0.42,1,341
18541087,Loureiro 67 III,37066714,Diogo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14411,-8.6083,Entire home/apt,58,2,6,2019-09-19,0.12,19,361
18542877,Casa Pilar - Quarto de Casal I,69779137,Helder,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1359,-8.60737,Private room,25,4,13,2018-08-17,0.27,9,0
18543650,Casa Pilar - Quarto de Casal III,69779137,Helder,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13661,-8.60604,Private room,25,4,7,2018-08-31,0.14,9,0
18545233,Apartamento de ferias,128729820,Costa Santos,SANTA MARIA DA FEIRA,"Santa Maria da Feira, Travanca, Sanfins e Espargo",40.92586,-8.5858,Entire home/apt,50,3,15,2018-12-11,0.32,1,0
18547723,Looking river Sé 7,89891930,Looking,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14371,-8.61366,Entire home/apt,50,1,200,2020-02-29,4.10,3,131
18548020,Looking river Sé 5,89891930,Looking,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14314,-8.61349,Entire home/apt,50,1,118,2020-02-23,2.38,3,159
