id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41339,Porto city flat near the sea,180050,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,95,5,17,2018-08-19,0.19,1,0
42462,Large Penthouse in Vila Nova Gaia,185492,Gabriela,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.10739,-8.5943,Entire home/apt,73,90,39,2015-07-22,0.38,3,0
55111,Fontielas Houses |Floor1 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17481,-8.35362,Entire home/apt,66,3,14,2019-05-07,0.19,3,0
73828,Fontielas Houses |Floor0 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17449,-8.35426,Entire home/apt,66,3,8,2019-07-22,0.11,3,0
86388,A Formosa - a nest made for two,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,20,2,136,2019-04-26,1.16,6,160
87873,Oporto Apartment Triplex,480980,Paula,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,70,3,184,2019-01-05,1.65,3,317
91439,A Formosa 2 -The red sofa room,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,18,2,143,2019-05-23,1.21,6,160
96394,Boat Blue Days,511741,Manuel,VILA NOVA DE GAIA,Canidelo,41.1411,-8.65148,Entire home/apt,214,1,8,2018-10-10,0.32,1,364
100521,casa de praia,528145,Isabel Morgado,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07378,-8.65368,Private room,80,1,0,,,1,365
100661,A Formosa 3 - Little Vintage Nook,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,18,2,71,2017-10-07,0.75,6,160
104045,Aida Duplex Apartment | 5 Bedrooms,541968,Aida,PORTO,Bonfim,41.15877,-8.59893,Entire home/apt,150,4,260,2020-03-07,2.20,1,346
105347,Minha casinha / My little house,544104,Manuel,VILA NOVA DE GAIA,Oliveira do Douro,41.12961,-8.58427,Entire home/apt,55,5,119,2019-04-12,1.21,1,325
108153,Rooms-Piscina-Praia,559704,Armando,ESPINHO,Anta e Guetim,40.99902,-8.6163,Private room,50,2,6,2016-09-27,0.12,4,358
113586,1 Bedroom Vintage Apartment 60sqm,577638,César,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,Entire home/apt,45,4,196,2019-05-31,1.90,1,180
122362,Private house in Oporto - Portugal,613350,Olga,PORTO,Paranhos,41.17563,-8.62323,Entire home/apt,80,2,63,2018-06-30,0.75,1,323
125872,B&B - Luxury Suite with HQ private bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12424,-8.61346,Private room,55,1,222,2019-05-25,2.01,6,362
127208,B & B  Room Yoga Garden's Place,630252,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,35,2,455,2020-03-02,4.63,1,300
128557,B&B-High Quality room 10min. walk from WineCellars,625145,Manuel & Family,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12557,-8.61512,Private room,31,1,366,2019-06-11,3.25,6,352
131994,Studio - Casa do Pinheiro,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,Entire home/apt,43,3,147,2020-03-18,1.23,2,148
133099,Duplex Apartment - Casa do Pinheiro,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,Entire home/apt,40,3,123,2019-10-07,1.06,2,172
133803,"Sun, sea & city.",489762,Sun Sea City,VILA NOVA DE GAIA,Canidelo,41.1277,-8.66321,Entire home/apt,136,3,177,2020-09-15,2.85,1,190
134570,Luxury Beachfront Penthouse Apartment w/ Pool,660293,Natacha,VILA NOVA DE GAIA,Madalena,41.1041,-8.65946,Entire home/apt,220,3,74,2019-07-02,0.73,1,328
139425,"Cozy apartment - roof top terrace, free parking",680010,Liana,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,55,2,187,2018-09-11,1.55,9,251
141255,Yellow House -  Casa CF,663708,Gabriela,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.19279,-8.66029,Private room,91,3,0,,,3,335
155127,Apartment Douro river 5 km to Porto,745984,André,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,Entire home/apt,60,3,77,2019-11-02,0.68,1,346
155723,House with EscolaSuperiorEnferma,748789,Margarida M.,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,Entire home/apt,80,3,6,2013-06-01,0.12,1,0
165699,Oliveira`s Place,789887,Bravo` S,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14822,-8.61476,Entire home/apt,387,2,102,2019-10-22,1.35,2,361
169321,Espaçoso e luminoso Apartamento perto de belas artes I,806826,Miguel,PORTO,Bonfim,41.14536,-8.59792,Entire home/apt,100,3,139,2019-09-10,1.24,4,164
173827,"Large flat, swimming pool, parking, security 24/7",154415,Manuela,PORTO,Lordelo do Ouro e Massarelos,41.16188,-8.66014,Entire home/apt,60,3,111,2020-03-08,1.47,2,241
186655,Charming Family House with Garden (6981/AL),897112,Helena,PORTO,Lordelo do Ouro e Massarelos,41.15206,-8.65228,Entire home/apt,65,2,206,2019-04-11,1.90,1,314
186946,DESIGN HOUSE OLD TOWN | BALCONY | AIRCO | RIBEIRA,898831,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,Entire home/apt,125,2,250,2020-01-02,2.21,2,354
189368,"Your Beach House, close to Oporto",913646,Ana,VILA DO CONDE,Azurara,41.33771,-8.74118,Entire home/apt,130,5,36,2017-11-05,0.76,1,80
191005,Luxury Apartment Downtown - Porto,923371,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15328,-8.60758,Entire home/apt,55,3,95,2019-12-26,0.89,2,187
207475,EcoArtistic Nest,1020922,João E Susana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13109,-8.61375,Entire home/apt,31,2,9,2014-09-09,0.11,1,0
208147,"Farmhouse accommodation, Portugal",1024383,David,VILA DO CONDE,Fornelo e Vairão,41.32667,-8.65956,Private room,30,4,36,2020-07-15,0.49,1,191
241573,class & confort downtown / poss parking,1266562,Oporto,PORTO,Bonfim,41.14776,-8.60194,Entire home/apt,118,2,196,2019-09-06,1.66,18,305
241574,apartment downtown 1 terrace,1266562,Oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14645,-8.60293,Entire home/apt,69,2,332,2019-10-12,2.93,18,312
241742,lovely duplex apartment in downtown Porto,1266562,Oporto,PORTO,Bonfim,41.14831,-8.6004,Entire home/apt,118,2,196,2020-01-04,1.88,18,272
241743,tranquility in downtown Porto,1266562,Oporto,PORTO,Bonfim,41.14654,-8.59991,Entire home/apt,69,2,143,2018-09-26,1.26,18,294
248537,Carregal Apartment,1302034,Maria De Lurdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14765,-8.61876,Entire home/apt,65,3,229,2019-12-28,2.02,1,327
264087,Historical City Center Apartment,1385493,Salomé,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15075,-8.6217,Entire home/apt,63,3,280,2021-01-14,2.43,2,145
265819,Porto Center Apartement - Beach 2 KM,506925,Amália,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1605,-8.6327,Entire home/apt,49,3,93,2016-11-24,0.82,1,281
266970,The peacefulness of the countryside near Oporto,1399935,Teresa E Pedro / Teresa Und Pedro,VILA NOVA DE GAIA,Avintes,41.11834,-8.54862,Entire home/apt,75,7,24,2017-11-15,0.26,2,171
270094,PortoFLAT Self contained studioflat,1377045,Chris,PORTO,Lordelo do Ouro e Massarelos,41.15906,-8.63666,Entire home/apt,50,3,45,2017-08-01,0.56,1,218
270965,Central Apartment in Porto,1418251,Júlia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15676,-8.60897,Entire home/apt,46,3,123,2018-04-08,1.15,1,365
273345,charming apartment in downtown Porto 3,1266562,Oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14663,-8.60385,Entire home/apt,79,2,216,2019-10-07,1.97,18,302
278886,charming apartment in downtown Porto 2,1266562,Oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14653,-8.6023,Entire home/apt,79,2,253,2019-09-24,2.75,18,320
313017,Ribeira - Porto/ Duplex Apartment,1609420,João & Cristiana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14128,-8.61178,Entire home/apt,68,1,54,2013-10-10,0.50,1,0
313541,Casa da Torrinha,1612190,Carlos,PORTO,Lordelo do Ouro e Massarelos,41.15264,-8.62168,Entire home/apt,271,2,173,2018-09-27,1.85,1,191
317546,Shining view in the city heart 7,1630185,David,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14321,-8.61676,Entire home/apt,101,3,112,2019-10-18,1.03,9,344
322277,"Secluded mountain house, 50m River Paiva",1650486,Sandra,AROUCA,Alvarenga,40.96872,-8.164,Entire home/apt,175,5,23,2019-08-25,0.27,1,350
322467,Porto Luxury Suite,1651078,Lurdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15466,-8.61585,Private room,40,2,457,2019-08-31,4.75,5,356
366442,Portugal - Vila Do Conde! Location!,1850073,Jolene,VILA DO CONDE,Vila do Conde,41.36886,-8.75795,Entire home/apt,60,5,19,2018-07-18,0.20,1,318
366590,Shining view in the city heart 6,1630185,David,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14386,-8.61667,Entire home/apt,76,3,32,2018-08-23,0.29,9,352
383641,Suite in the center of Oporto!,1651078,Lurdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15466,-8.61585,Private room,43,2,444,2019-10-18,4.52,5,361
386984,Fontielas Houses | House T1 with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17447,-8.35492,Entire home/apt,57,3,9,2019-06-06,0.12,3,0
393987,Old city! River View! Free Parking!,1969579,Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14285,-8.6054,Entire home/apt,49,2,299,2020-03-07,3.25,1,309
399584,Rustic House,1994633,Elisa,MAIA,São Pedro Fins,41.25363,-8.54319,Entire home/apt,170,3,123,2019-07-21,1.27,1,313
400097,3rd Studio,1997241,Solar,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15389,-8.60342,Entire home/apt,50,3,66,2018-06-14,0.64,7,358
400129,Studio 3,1997241,Solar,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1524,-8.60596,Entire home/apt,55,3,13,2018-11-11,0.18,7,361
400134,Studio 4,1997241,Solar,PORTO,Bonfim,41.15215,-8.60375,Entire home/apt,59,3,10,2013-07-11,0.10,7,359
403114,Blue Oporto Home River Front - Ribeira,2010935,Diana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13888,-8.61497,Entire home/apt,155,1,131,2019-11-18,1.44,12,301
404688,Holiday Villa - Casa do Sobreiro,2016951,António Luís,GONDOMAR,Melres e Medas,41.07471,-8.41248,Entire home/apt,150,2,77,2019-10-09,0.79,1,305
424705,Shining view in the city heart 5,1630185,David,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14267,-8.61718,Entire home/apt,87,3,38,2017-07-08,0.44,9,340
429790,Just a 5minute walk from the beach!,2136541,Maria,MATOSINHOS,Matosinhos e Leça da Palmeira,41.20043,-8.70667,Entire home/apt,35,4,107,2018-10-03,1.24,1,310
437772,Facing the sea and harbor boats,2174759,Patricia,VILA DO CONDE,Vila do Conde,41.37035,-8.762,Entire home/apt,115,2,64,2021-06-07,0.58,1,227
450872,GuestReady - Charm Loft,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14267,-8.61356,Entire home/apt,26,2,340,2019-09-08,3.28,338,346
485699,2min walk from beach - 20min from Porto City,2404540,Marco,VILA DO CONDE,Vila do Conde,41.34521,-8.7508,Entire home/apt,83,3,20,2019-12-02,0.26,1,323
486268,Solar Piedade - FANTASTIC 5 bedroom villa,2406517,Hélder,VALONGO,Alfena,41.23578,-8.52927,Entire home/apt,509,3,27,2019-11-29,0.35,1,298
487653,Charming Apartment near the Beach  (34512/AL),2413031,Gabriela,VILA DO CONDE,Vila do Conde,41.35115,-8.74867,Entire home/apt,80,2,39,2019-08-15,0.53,1,319
496647,Shining view in the city heart 1,1630185,David,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1441,-8.61759,Entire home/apt,72,3,9,2017-08-30,0.12,9,350
502059,Home in the geographic center Porto,2477477,Monica,PORTO,Ramalde,41.16693,-8.63799,Private room,45,1,244,2018-06-26,2.42,1,0
510404,Guest-House in the centre of Porto,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15605,-8.60928,Private room,21,2,142,2020-08-15,1.32,6,180
510406,Guest-House in the centre of Porto,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15194,-8.60782,Private room,22,3,166,2019-07-01,1.74,6,90
518534,RIVERTOP by YoursPorto,1675750,YoursPorto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14002,-8.61519,Entire home/apt,95,1,293,2020-03-14,2.71,15,340
530311,Apartment near to Port Wine Cellars,2604677,Adelino,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13501,-8.61047,Entire home/apt,100,3,154,2020-03-10,1.45,1,323
538055,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15061,-8.62086,Private room,120,1,0,,,11,131
538059,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15065,-8.62109,Private room,80,1,1,2019-10-16,0.05,11,361
538061,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14921,-8.61951,Private room,100,1,0,,,11,361
538062,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15004,-8.61974,Private room,120,1,0,,,11,352
538064,PENSAO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14909,-8.62093,Private room,115,1,0,,,11,355
538066,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15002,-8.61969,Private room,100,1,1,2019-06-09,0.04,11,131
538069,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15052,-8.62127,Private room,100,1,0,,,11,132
563465,Peace and quiet,2770848,Tania,VALONGO,Ermesinde,41.2234,-8.54421,Private room,65,7,0,,,1,365
565255,Oporto Center Private Room1,480980,Paula,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15396,-8.60421,Private room,42,2,253,2019-10-05,2.35,3,336
571382,Porto Leça Beach Flat in Matosinhos,2812007,João,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1898,-8.6983,Entire home/apt,41,2,200,2021-06-19,1.93,6,186
577242,Big House Near Porto and beachs,2838878,Dulce,SANTA MARIA DA FEIRA,Argoncilhe,41.02448,-8.53994,Entire home/apt,100,5,55,2018-06-05,0.67,1,202
579745,Airy & Modern Beachfront Apartment,2851799,Maria C,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15384,-8.67886,Entire home/apt,75,2,274,2020-03-10,2.52,1,280
581356,"Toc Toc Studio, Fun Bijou Retreat in a Historic Building",2712090,Hugo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14443,-8.61755,Entire home/apt,72,2,405,2020-03-13,4.01,2,348
581402,Big private bedroom with private WC,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,1,35,2016-07-21,0.32,7,0
582405,Minimalist House T3 downtown Porto,2868260,Henrique,PORTO,Bonfim,41.15819,-8.60128,Entire home/apt,65,3,137,2019-05-26,1.28,2,224
590448,Duplex  Casa Romantica  secluded  in city center,495191,Isabel,PORTO,Bonfim,41.15147,-8.59746,Entire home/apt,144,120,42,2018-12-17,0.48,1,0
598806,Cozy T1 Appartment in Porto Center,2962322,Catherine,PORTO,Bonfim,41.14703,-8.59516,Entire home/apt,50,2,43,2019-08-22,0.40,1,81
600573,Cozy apartment close metro & beach,2969815,Salomé,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18091,-8.68034,Entire home/apt,75,3,36,2021-05-19,0.46,2,277
604702,Casa da Paz | Clean&Safe Vintage House with garden,2993425,"Maria, Gabriela & Tiago",PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15667,-8.62764,Entire home/apt,85,2,308,2020-01-01,3.07,1,252
605605,3 Room Luxury Apartment in City Centre - nr96,2999213,Feriarcos,VILA DO CONDE,Vila do Conde,41.35313,-8.74471,Entire home/apt,95,2,13,2019-04-24,0.16,2,316
608281,OPO Trindade Tower East,2006314,OPO Trindade,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15286,-8.6069,Entire home/apt,248,2,69,2017-11-17,0.82,2,35
609453,Porto center-Priv. room w/ WC&WI-FI,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,1,73,2018-09-21,0.68,7,0
609455,Double room ensuite in the center,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,1,63,2018-02-23,0.58,7,0
613792,"Porto, estúdio florido numa praia famosa",3043794,Armando,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07648,-8.65492,Entire home/apt,50,3,64,2019-06-10,0.62,4,349
619218,Kitchnette Studio in Porto's Downtown,1651078,Lurdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15448,-8.61451,Entire home/apt,32,2,401,2019-12-09,4.14,5,323
620462,"""Porto Ribeira Moments"" apartment",3074362,Adérito,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14175,-8.61355,Entire home/apt,69,2,133,2019-01-25,2.19,1,334
620628,Cedofeita Downtown | Historic Center,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1475,-8.61796,Entire home/apt,76,2,314,2020-01-02,3.11,8,346
621663,3 Room Luxury Apartment in City Centre - nr98,2999213,Feriarcos,VILA DO CONDE,Vila do Conde,41.35519,-8.74315,Entire home/apt,95,2,4,2018-04-02,0.04,2,326
621980,Kitchnette Studio in Porto's Downtown II,1651078,Lurdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15448,-8.61451,Entire home/apt,33,2,422,2020-10-19,3.90,5,308
627273,Red Oporto Home River Front - Ribeira,2010935,Diana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14125,-8.61477,Entire home/apt,157,1,302,2021-06-20,2.84,12,230
628004,Purple Oporto Home River Front - Ribeira,2010935,Diana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14076,-8.61612,Entire home/apt,148,1,192,2021-07-05,1.90,12,261
631014,A Formosa 4 - Private balcony room,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14907,-8.60905,Private room,18,2,70,2019-05-20,0.74,6,160
640344,Casa da Belavista 2 - Foz Velha- Porto,3197326,Luiz,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.14801,-8.66768,Entire home/apt,65,2,12,2016-11-16,0.15,2,321
659341,River&Bridges apartments 1 in Porto,3326280,Lurdes,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13532,-8.6077,Entire home/apt,40,2,469,2020-01-05,4.65,1,242
663607,apartment 10min walking to downtown,3284341,Mariana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15877,-8.63211,Entire home/apt,56,4,40,2016-03-28,0.47,1,178
681306,Modern Flat with Patio in Historic Jewish Quarter,3469454,Lígia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14274,-8.61583,Entire home/apt,66,1,185,2020-02-26,1.74,6,282
681307,PentHousepartment in a Central Building,3469454,Lígia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14318,-8.61612,Entire home/apt,140,1,200,2020-03-15,2.28,6,330
691479,Apartreboleira. Terrace with a view,3534864,Anne,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14094,-8.61659,Entire home/apt,127,2,359,2021-07-04,3.42,1,259
692042,RIVERTOPVIEW by YoursPorto,1675750,YoursPorto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14002,-8.61518,Entire home/apt,83,1,144,2020-02-20,1.35,15,358
693426,Large flat @ the beach w/Sea view - Flowerstreet54,2714853,Cristina,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17473,-8.68521,Entire home/apt,105,4,52,2020-12-23,0.62,1,49
695656,Green Oporto Home River Front - Ribeira,2010935,Diana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13899,-8.61608,Entire home/apt,140,1,24,2020-09-06,0.40,12,324
696324,Mouzinho 134 - Hist Center - Yellow,3565697,Eugenia And Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14295,-8.61372,Entire home/apt,150,30,413,2020-02-25,3.95,9,350
703873,Sunny bedroom near the Douro river,3614742,Rui And Sergey,VILA NOVA DE GAIA,Oliveira do Douro,41.13179,-8.60276,Private room,27,2,105,2019-09-17,1.50,1,364
708484,"Little and nice inner room, Oporto",1736427,José António & Isabel,PORTO,Ramalde,41.17626,-8.62912,Private room,13,1,99,2019-07-29,1.39,1,251
711159,PORTA33 I PORTO LOFT Downtown Historic Center,802361,Mariana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14582,-8.61239,Entire home/apt,44,2,575,2020-09-07,5.45,9,90
713596,Apartment Arca D`água with parking,2821843,Paulo,PORTO,Paranhos,41.16992,-8.60825,Entire home/apt,39,3,189,2019-11-05,1.84,1,190
727402,Porta 33 I Porto Apartment - Historic Center :),802361,Mariana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14417,-8.61133,Entire home/apt,47,3,520,2019-11-14,5.01,9,151
729328,Cozy Flat with AirCon near Port Wine Cellars,185492,Gabriela,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13561,-8.62397,Entire home/apt,43,3,212,2020-10-11,2.16,3,313
735736,OPO.APT - Pateo Apartment 110-0,3838433,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15583,-8.62387,Entire home/apt,80,2,58,2015-02-16,0.71,7,325
736472,OPO.APT -  Art Déco Apartment 110-1,3838433,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15583,-8.62387,Entire home/apt,71,3,165,2019-03-24,1.59,7,328
738602,Clérigos Downtown - Historic Center,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14581,-8.61272,Entire home/apt,144,2,332,2020-02-26,3.29,8,300
746214,Great room in Oporto's centre WIFI,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,2,46,2014-10-06,0.47,7,0
748133,HEART OF THE CITY - SPACIOUS FLAT,3928878,Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14688,-8.61333,Entire home/apt,50,2,319,2019-09-05,3.63,1,0
748261,Penthouse Apartment T1,2589623,Rocha,PORTO,Lordelo do Ouro e Massarelos,41.14972,-8.62422,Private room,70,2,0,,,34,43
748374,Appartment T1 * bnapartments Palácio,2589623,Rocha,PORTO,Lordelo do Ouro e Massarelos,41.14972,-8.62422,Entire home/apt,41,2,2,2021-04-16,0.15,34,0
749496,Central House with garden,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Entire home/apt,257,2,205,2019-08-10,2.03,7,52
758709,Basic Studio With Top Location and Views . Carmo 1,3944088,Estudios,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14655,-8.61746,Entire home/apt,70,3,285,2019-11-29,2.75,7,73
759702,Basic Studio With Top Location . Carmo 2,3944088,Estudios,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14755,-8.61742,Entire home/apt,70,3,143,2017-10-20,1.37,7,188
764471,"OPORTO Downtown, Free Parking",4030159,Dalila,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1447,-8.60541,Entire home/apt,43,2,419,2020-03-02,4.18,1,312
769605,Studio in  Porto,3163699,Sónia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14283,-8.60787,Entire home/apt,50,2,34,2017-08-09,0.38,2,299
780430,"ExtendALL, PORTO Studio 1",4115877,Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14195,-8.61844,Entire home/apt,76,2,20,2013-05-27,0.20,3,187
780538,"ExtendALL, PORTO Loft",4115877,Bruno,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14008,-8.62086,Entire home/apt,92,2,42,2019-08-17,0.50,3,239
786791,Downtown Oporto - 1 bedroom Studio,4147879,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15821,-8.6124,Entire home/apt,39,2,70,2017-08-30,0.81,1,297
819535,Clérigos Room | Historic Centre,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14576,-8.61271,Private room,45,2,687,2021-06-20,6.65,8,276
827208,Sailing boat at the beach,4338551,Aude,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1868,-8.70497,Entire home/apt,75,2,10,2017-09-03,0.19,1,348
829780,Confort &Nature in peaceful village,4346713,Dulce,AROUCA,Canelas e Espiunca,40.99038,-8.21421,Entire home/apt,175,3,20,2019-08-13,0.23,2,315
